pol        seed |      rew      cap     step      mdl     wait     comp      nsv |   pku    pkr obs  obsr   pkv   pkvr    mwt   cmp    cmr   anp   anpr     mtt   pnc    pncr |   noop  overld  mcand  cne_fr cne_mn   dstep    macmr    msd
75          700 |     4.84     0.00     0.00    -4.30    -1.86    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  212.00 11/19   0.58  2/19   0.11  268.27  0/11   0.00 |   0.684  0.579   0.88  0.430   2.05     12    0.255     19
76          800 |     5.95     0.00     0.00    -3.10    -3.95    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  146.92 13/17   0.76  0/17   0.00  291.77  0/13   0.00 |   0.622  0.611   0.85  0.432   1.98     12    0.330     18
77          900 |     4.69     0.00     0.00    -3.60    -2.71    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  195.18 11/19   0.58  0/19   0.00  313.91  0/11   0.00 |   0.740  0.550   0.67  0.362   1.84     12    0.235     20
78         1000 |     7.83     0.00     0.00    -2.60    -2.57    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  165.23 13/17   0.76  0/17   0.00  291.92  0/13   0.00 |   0.758  0.579   0.49  0.290   1.69     12    0.412     19
79          100 |     3.56     0.00     0.00    -4.67    -1.77    10.00     0.00 | 10/20   0.50 14   0.70  4/10   0.40  223.50 10/20   0.50  4/20   0.20  320.30  0/10   0.00 |   0.695  0.526   0.82  0.400   2.05     12    0.187     19
80          200 |     5.47     0.00     0.00    -2.60    -2.93    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  170.09 11/19   0.58  4/19   0.21  249.73  0/11   0.00 |   0.656  0.611   0.71  0.379   1.86     12    0.304     18
81          300 |     4.22     0.00     0.00    -3.10    -2.68    10.00     0.00 | 12/20   0.60 11   0.55  3/12   0.25  199.83 10/20   0.50  0/20   0.00  289.90  2/12   0.17 |   0.720  0.550   0.59  0.333   1.77     12    0.211     20
82          400 |     4.32     0.00     0.00    -3.60    -2.08    10.00     0.00 | 10/20   0.50 12   0.60  2/10   0.20  151.20 10/20   0.50  6/20   0.30  283.90  0/10   0.00 |   0.707  0.733   0.82  0.425   1.94     12    0.288     15
83          500 |     6.11     0.00     0.00    -3.10    -2.79    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  181.17 12/18   0.67  0/18   0.00  263.08  0/12   0.00 |   0.750  0.500   0.72  0.352   2.05     11    0.305     20
84          600 |     4.14     0.00     0.00    -4.17    -3.70    12.00     0.00 | 14/18   0.78  9   0.50  5/14   0.36  260.36 12/18   0.67  2/18   0.11  260.08  2/14   0.14 |   0.700  0.600   0.77  0.400   1.93     12    0.207     20
